ATLANTYS1	AT2TE20435	95.262	11524	501	16	172	11665	135	11643	0.0	18214
ATLANTYS1	AT2TE20435	96.117	515	20	0	1	515	11129	11643	0.0	841
ATLANTYS1	AT2TE20435	96.243	346	13	0	11322	11667	135	480	4.54e-162	568
ATLANTYS1	AT2TE20435	95.918	98	4	0	6	103	1	98	3.24e-39	159
ATLANTYS1	AT2TE20435	95.918	98	4	0	11156	11253	1	98	3.24e-39	159
ATLANTYS1	AT3TE54780	96.236	8050	231	18	58	8086	1	7999	0.0	13121
ATLANTYS1	AT3TE54780	93.922	1201	64	9	10472	11667	8040	9236	0.0	1805
ATLANTYS1	AT3TE54780	94.990	519	24	2	1	517	8718	9236	0.0	813
ATLANTYS1	AT3TE54780	93.709	461	27	2	11208	11667	1	460	0.0	689
ATLANTYS1	AT3TE54780	100.000	37	0	0	8050	8086	8000	8036	5.61e-12	69.4
ATLANTYS1	AT4TE09385	95.860	6570	208	16	1172	7723	1169	7692	0.0	10567
ATLANTYS1	AT4TE09385	93.502	2447	89	22	9224	11667	9192	11571	0.0	3574
ATLANTYS1	AT4TE09385	96.249	1573	57	2	7610	9181	7626	9197	0.0	2577
ATLANTYS1	AT4TE09385	94.825	1140	45	6	1	1138	47	1174	0.0	1766
ATLANTYS1	AT4TE09385	95.376	519	15	4	1	517	11060	11571	0.0	817
ATLANTYS1	AT4TE09385	94.990	519	12	6	11151	11667	47	553	0.0	802
ATLANTYS1	AT4TE18500	94.891	6381	217	25	5176	11551	4672	10948	0.0	9877
ATLANTYS1	AT4TE18500	96.196	3523	125	4	1	3518	1	3519	0.0	5755
ATLANTYS1	AT4TE18500	97.664	1113	25	1	3914	5026	3537	4648	0.0	1910
ATLANTYS1	AT4TE18500	97.292	517	14	0	11151	11667	1	517	0.0	878
ATLANTYS1	AT4TE18500	97.270	403	9	1	1	401	10546	10948	0.0	682
ATLANTYS1	AT4TE18500	86.076	79	4	6	7609	7682	7113	7189	9.32e-15	78.7
ATLANTYS1	AT4TE21090	94.813	5803	288	9	5873	11667	4938	10735	0.0	9036
ATLANTYS1	AT4TE21090	96.564	2328	79	1	3504	5831	2611	4937	0.0	3855
ATLANTYS1	AT4TE21090	94.017	1571	75	6	1	1562	1	1561	0.0	2362
ATLANTYS1	AT4TE21090	95.501	978	42	1	1676	2653	1622	2597	0.0	1561
ATLANTYS1	AT4TE21090	96.518	517	18	0	1	517	10219	10735	0.0	856
ATLANTYS1	AT4TE21090	96.518	517	17	1	11151	11667	1	516	0.0	854
ATLANTYS1	AT5TE45115	90.568	5471	471	24	116	5584	10	5437	0.0	7203
ATLANTYS1	AT5TE45115	92.882	1152	59	4	5666	6815	5430	6560	0.0	1652
ATLANTYS1	AT5TE45115	88.210	704	77	4	6736	7435	6556	7257	0.0	835
ATLANTYS1	AT5TE45115	92.174	345	26	1	11266	11609	10	354	1.31e-137	486
ATLANTYS1	AT2TE22345	88.256	5322	557	28	1	5316	1	5260	0.0	6303
ATLANTYS1	AT2TE22345	87.692	520	58	6	11151	11667	1	517	4.47e-172	601
ATLANTYS1	AT1TE54805	95.675	3746	142	9	1	3744	1	3728	0.0	6002
ATLANTYS1	AT1TE54805	96.567	3088	98	6	3793	6879	3738	6818	0.0	5108
ATLANTYS1	AT1TE54805	95.829	2613	105	3	9059	11667	8637	11249	0.0	4218
ATLANTYS1	AT1TE54805	96.824	1039	32	1	7927	8965	7597	8634	0.0	1735
ATLANTYS1	AT1TE54805	97.176	779	17	3	7083	7857	6818	7595	0.0	1312
ATLANTYS1	AT1TE54805	96.724	519	15	1	11151	11667	1	519	0.0	863
ATLANTYS1	AT1TE54805	96.532	519	16	1	1	517	10731	11249	0.0	857
ATLANTYS1	AT1TE54805	100.000	32	0	0	1513	1544	1463	1494	3.38e-09	60.2
ATLANTYS1	AT2TE18830	95.662	3711	147	7	470	4172	437	4141	0.0	5949
ATLANTYS1	AT2TE18830	93.706	3289	184	12	8264	11543	6811	10085	0.0	4905
